epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,585.222,1.01087,2.57653,1.4606,0.42416,0.49278,0.45647,0.29234,1.13225,1.63315,1.65692,0.00333251,0.00333251,0.00333251
2,1125.01,0.97451,1.78675,1.39745,0.48752,0.58073,0.55044,0.37965,1.09913,1.36978,1.60723,0.00659985,0.00659985,0.00659985
3,1649.17,1.00632,1.61304,1.41402,0.57367,0.55908,0.60142,0.41264,1.11997,1.26563,1.61791,0.00980119,0.00980119,0.00980119
4,2169.21,0.98979,1.51646,1.40399,0.62927,0.62738,0.66102,0.46791,1.0664,1.10991,1.55659,0.009703,0.009703,0.009703
5,2691.27,0.94164,1.40498,1.36763,0.66855,0.6424,0.70898,0.51792,1.00968,1.03406,1.49846,0.009604,0.009604,0.009604
6,3210.73,0.90887,1.33977,1.34743,0.67841,0.69057,0.74176,0.5453,0.99933,0.98499,1.47774,0.009505,0.009505,0.009505
7,3730.04,0.88825,1.28417,1.3316,0.69883,0.70236,0.76094,0.56519,0.97735,0.94512,1.45748,0.009406,0.009406,0.009406
8,4250.35,0.88042,1.25491,1.32684,0.68802,0.71567,0.77342,0.58212,0.96124,0.9195,1.43663,0.009307,0.009307,0.009307
9,4770.01,0.86841,1.22929,1.3168,0.71277,0.71633,0.78263,0.59004,0.93862,0.89083,1.41763,0.009208,0.009208,0.009208
10,5289.85,0.85742,1.21249,1.30837,0.72247,0.72116,0.7882,0.59825,0.92809,0.89088,1.40308,0.009109,0.009109,0.009109
11,5809.48,0.84945,1.19118,1.30517,0.72135,0.72403,0.79471,0.60385,0.93151,0.87494,1.40689,0.00901,0.00901,0.00901
12,6329.09,0.8444,1.17801,1.30091,0.7102,0.753,0.79997,0.60809,0.92717,0.8649,1.40152,0.008911,0.008911,0.008911
13,6848.56,0.83936,1.16289,1.29573,0.71351,0.75316,0.80297,0.61136,0.92045,0.85275,1.39443,0.008812,0.008812,0.008812
14,7368.37,0.83666,1.14719,1.29333,0.74114,0.74116,0.80907,0.61586,0.91575,0.84523,1.39023,0.008713,0.008713,0.008713
15,7887.6,0.82898,1.13665,1.28932,0.73302,0.74984,0.81144,0.61855,0.91426,0.83786,1.38841,0.008614,0.008614,0.008614
